# Position, Conc, Conc_std
-1.930000000000002602e+00,7.943829582942590894e-01,7.925106367608199210e-04
-1.940000000000002833e+00,7.944103330100652505e-01,7.928243395661455171e-04
-1.950000000000003064e+00,7.944384167452507306e-01,7.938568867423041612e-04
-1.960000000000002851e+00,7.944658657531195045e-01,7.941412481765736369e-04
-1.970000000000002638e+00,7.944940138308369537e-01,7.951534690783156273e-04
-1.980000000000002869e+00,7.945215278060365760e-01,7.954063463092262169e-04
-1.990000000000003100e+00,7.945497372816614501e-01,7.963967457351640465e-04
-2.000000000000002665e+00,7.945773110487667212e-01,7.966181983516144524e-04
-2.010000000000002451e+00,7.946055805173973807e-01,7.975867363799092830e-04
-2.020000000000003126e+00,7.946332112753287102e-01,7.977772413761740960e-04
-2.030000000000002913e+00,7.946615401224055297e-01,7.987246372874931815e-04
-2.040000000000002700e+00,7.946892263861106143e-01,7.988851896066023837e-04
-2.050000000000002487e+00,7.947176144092932271e-01,7.998128611787965738e-04
-2.060000000000003162e+00,7.947453554293484324e-01,7.999449905302390184e-04
-2.070000000000002949e+00,7.947738026708222048e-01,8.008549013158055598e-04
-2.080000000000002736e+00,7.948015981722547085e-01,8.009605927807962123e-04
-2.090000000000002522e+00,7.948301048709910388e-01,8.018551305994928895e-04
-2.100000000000003197e+00,7.948579549345839990e-01,8.019367752177333775e-04
-2.110000000000002984e+00,7.948865214818970903e-01,8.028186142621421923e-04
-2.120000000000002771e+00,7.949144264237660851e-01,8.028788570331220212e-04
-2.130000000000002558e+00,7.949430533020742651e-01,8.037507702575854640e-04
-2.140000000000003233e+00,7.949710135670299271e-01,8.037923183368748774e-04
-2.150000000000003020e+00,7.949997013034182380e-01,8.046570212860520944e-04
-2.160000000000002807e+00,7.950277173991412427e-01,8.046824946345296561e-04
-2.170000000000002593e+00,7.950564665417281240e-01,8.055425371106626070e-04
-2.180000000000003268e+00,7.950845390237697430e-01,8.055543870009640364e-04
-2.190000000000003055e+00,7.951133501382383617e-01,8.064121137678963115e-04
-2.200000000000002842e+00,7.951414796142056707e-01,8.064126143966952528e-04
-2.210000000000002629e+00,7.951703532730068913e-01,8.072701646553081742e-04
-2.220000000000003304e+00,7.951985403877418479e-01,8.072614143897864636e-04
-2.230000000000003091e+00,7.952274771628123906e-01,8.081207424676904727e-04
-2.240000000000002878e+00,7.952557225804112173e-01,8.081046839247379423e-04
-2.250000000000002665e+00,7.952847230382321664e-01,8.089675803646007328e-04
-2.260000000000003340e+00,7.953130274262799615e-01,8.089460078299522388e-04
-2.270000000000003126e+00,7.953420921349422246e-01,8.098141151230540567e-04
-2.280000000000002913e+00,7.953704561856740352e-01,8.097887240817843108e-04
-2.290000000000002700e+00,7.953995857413106441e-01,8.106636065198550515e-04
-2.300000000000003375e+00,7.954280102012110110e-01,8.106360907963941617e-04
-2.310000000000003162e+00,7.954572052191780651e-01,8.115192609479191096e-04
-2.320000000000002949e+00,7.954856908430851803e-01,8.114912504124971752e-04
-2.330000000000002736e+00,7.955149519084547816e-01,8.123840528687291222e-04
-2.340000000000003411e+00,7.955434994084142897e-01,8.123569642287819690e-04
-2.350000000000003197e+00,7.955728270699218285e-01,8.132605346216828643e-04
-2.360000000000002984e+00,7.956014371349089398e-01,8.132356099594687188e-04
-2.370000000000002771e+00,7.956308319277055618e-01,8.141509665643848750e-04
-2.380000000000003446e+00,7.956595052404827895e-01,8.141293796987423073e-04
-2.390000000000003233e+00,7.956889676907209497e-01,8.150574769139636152e-04
-2.400000000000003020e+00,7.957177049180667039e-01,8.150403552566910922e-04
-2.410000000000002807e+00,7.957472355413359733e-01,8.159820774507503842e-04
-2.420000000000003482e+00,7.957760373313563784e-01,8.159704807166049323e-04
-2.430000000000003268e+00,7.958056366265463533e-01,8.169266021943940052e-04
-2.440000000000003055e+00,7.958345036003319217e-01,8.169214561835102043e-04
-2.450000000000002842e+00,7.958641720268548880e-01,8.178925680288554739e-04
-2.460000000000003517e+00,7.958931047568520434e-01,8.178945762085716329e-04
-2.470000000000003304e+00,7.959228427237039494e-01,8.188810577177133487e-04
-2.480000000000003091e+00,7.959518417439626070e-01,8.188907291942662363e-04
-2.490000000000002878e+00,7.959816496357960958e-01,8.198928436814939330e-04
-2.500000000000003553e+00,7.960107154700268861e-01,8.199106210187990769e-04
-2.510000000000003340e+00,7.960405936576109287e-01,8.209285791703655952e-04
-2.520000000000003126e+00,7.960697268054029996e-01,8.209548394099313619e-04
-2.530000000000002913e+00,7.960996756294446142e-01,8.219887427322471836e-04
-2.540000000000003588e+00,7.961288765540392998e-01,8.220237296826971452e-04
-2.550000000000003375e+00,7.961588963254309093e-01,8.230735530701195537e-04
-2.560000000000003162e+00,7.961881654664405561e-01,8.231174052716116801e-04
